TPQ: 960
TRACKS: 2

Track 0
Tick	Seconds	Dur	Message
0	0		ff 58 4 4 2 18 8 
0	0		ff 59 2 0 0 
0	0		ff 51 3 9 27 c0 
0	0		ff 2 c 43 6f 70 79 72 69 67 68 74 20 a9 20 
1	0.000625		ff 2f 0 

Track 1
Tick	Seconds	Dur	Message
0	0		c0 34 
0	0		b0 79 0 
0	0		b0 40 0 
0	0		b0 5b 30 
0	0		b0 a 40 
0	0		b0 7 64 
0	0		ff 3 5 56 6f 69 63 65 
0	0		ff 5 2 41 20 
0	0	0.6	90 3c 44 
960	0.6		80 3c 0 
960	0.6		ff 5 2 42 20 
960	0.6	0.6	90 3c 4a 
1920	1.2		80 3c 0 
1920	1.2		ff 5 2 43 20 
1920	1.2	0.6	90 43 57 
2880	1.8		80 43 0 
2880	1.8		ff 5 2 44 20 
2880	1.8	0.6	90 43 4e 
3840	2.4		80 43 0 
3840	2.4		ff 5 2 45 20 
3840	2.4	0.6	90 45 53 
4800	3		80 45 0 
4800	3		ff 5 2 46 20 
4800	3	0.6	90 45 4c 
5760	3.6		80 45 0 
5760	3.6		ff 5 2 47 20 
5760	3.6	1.2	90 43 48 
7680	4.8		80 43 0 
7680	4.8		ff 5 2 48 20 
7680	4.8	0.6	90 41 49 
8640	5.4		80 41 0 
8640	5.4		ff 5 2 49 20 
8640	5.4	0.6	90 41 4a 
9600	6		80 41 0 
9600	6		ff 5 2 4a 20 
9600	6	0.6	90 40 48 
10560	6.6		80 40 0 
10560	6.6		ff 5 2 4b 20 
10560	6.6	0.6	90 40 4e 
11520	7.2		80 40 0 
11520	7.2		ff 5 2 4c 20 
11520	7.2	0.3	90 3e 4a 
12000	7.5		80 3e 0 
12000	7.5		ff 5 2 4d 20 
12000	7.5	0.3	90 3e 4b 
12480	7.8		80 3e 0 
12480	7.8		ff 5 2 4e 20 
12480	7.8	0.3	90 3e 4c 
12960	8.1		80 3e 0 
12960	8.1		ff 5 2 4f 20 
12960	8.1	0.3	90 3e 4c 
13440	8.4		80 3e 0 
13440	8.4		ff 5 2 50 20 
13440	8.4	1.2	90 3c 45 
15360	9.6		80 3c 0 
15360	9.6		ff 5 2 51 20 
15360	9.6	0.6	90 43 53 
16320	10.2		80 43 0 
16320	10.2		ff 5 2 52 20 
16320	10.2	0.6	90 43 52 
17280	10.8		80 43 0 
17280	10.8		ff 5 2 53 20 
17280	10.8	0.6	90 41 4b 
18240	11.4		80 41 0 
18240	11.4		ff 5 4 61 6e 64 20 
18240	11.4	0.6	90 41 4c 
19200	12		80 41 0 
19200	12		ff 5 2 54 20 
19200	12	0.6	90 40 4c 
20160	12.6		80 40 0 
20160	12.6		ff 5 2 55 20 
20160	12.6	0.6	90 40 4a 
21120	13.2		80 40 0 
21120	13.2		ff 5 2 56 20 
21120	13.2	1.2	90 3e 45 
23040	14.4		80 3e 0 
23040	14.4		ff 5 3 44 6f 75 
23040	14.4	0.3	90 43 5e 
23520	14.7		80 43 0 
23520	14.7		ff 5 4 62 6c 65 20 
23520	14.7	0.3	90 43 50 
24000	15		80 43 0 
24000	15		ff 5 2 55 20 
24000	15	0.6	90 43 4c 
24960	15.6		80 43 0 
24960	15.6		ff 5 2 58 20 
24960	15.6	1.2	90 41 46 
26880	16.8		80 41 0 
26880	16.8		ff 5 2 59 20 
26880	16.8	0.6	90 40 4d 
27840	17.4		80 40 0 
27840	17.4		ff 5 4 61 6e 64 20 
27840	17.4	0.6	90 40 4b 
28800	18		80 40 0 
28800	18		ff 5 3 5a 2e 20 
28800	18	1.2	90 3e 47 
30720	19.2		80 3e 0 
30720	19.2		ff 5 4 4e 6f 77 20 
30720	19.2	0.6	90 3c 45 
31680	19.8		80 3c 0 
31680	19.8		ff 5 2 49 20 
31680	19.8	0.6	90 3c 48 
32640	20.4		80 3c 0 
32640	20.4		ff 5 5 6b 6e 6f 77 20 
32640	20.4	0.6	90 43 5b 
33600	21		80 43 0 
33600	21		ff 5 3 6d 79 20 
33600	21	0.6	90 43 4b 
34560	21.6		80 43 0 
34560	21.6		ff 5 2 41 20 
34560	21.6	0.6	90 45 50 
35520	22.2		80 45 0 
35520	22.2		ff 5 2 42 20 
35520	22.2	0.6	90 45 4a 
36480	22.8		80 45 0 
36480	22.8		ff 5 4 43 73 2c 20 
36480	22.8	1.2	90 43 41 
38400	24		80 43 0 
38400	24		ff 5 6 77 6f 6e 27 74 20 
38400	24	0.6	90 41 49 
39360	24.6		80 41 0 
39360	24.6		ff 5 4 79 6f 75 20 
39360	24.6	0.6	90 41 4f 
40320	25.2		80 41 0 
40320	25.2		ff 5 5 73 69 6e 67 20 
40320	25.2	0.6	90 40 46 
41280	25.8		80 40 0 
41280	25.8		ff 5 1 61 
41280	25.8	0.6	90 40 50 
42240	26.4		80 40 0 
42240	26.4		ff 5 5 6c 6f 6e 67 20 
42240	26.4	0.6	90 3e 49 
43200	27		80 3e 0 
43200	27		ff 5 5 77 69 74 68 20 
43200	27	0.6	90 3e 4c 
44160	27.6		80 3e 0 
44160	27.6		ff 5 4 6d 65 3f 20 
44160	27.6	1.2	90 3c 44 
46080	28.8		80 3c 0 
46081	28.8006		ff 2f 0 
